attendance,assignments,practice,passed
0.95,0.92,0.88,1
0.91,0.85,0.82,1
0.88,0.90,0.84,1
0.83,0.80,0.75,1
0.90,0.88,0.92,1
0.78,0.82,0.70,1
0.85,0.89,0.80,1
0.87,0.91,0.85,1
0.92,0.94,0.90,1
0.81,0.76,0.72,1
0.84,0.88,0.78,1
0.89,0.86,0.83,1
0.93,0.90,0.87,1
0.77,0.80,0.69,1
0.82,0.84,0.76,1
0.42,0.38,0.35,0
0.30,0.32,0.28,0
0.20,0.25,0.15,0
0.55,0.50,0.45,0
0.48,0.40,0.38,0
0.33,0.28,0.25,0
0.36,0.30,0.29,0
0.22,0.20,0.18,0
0.40,0.35,0.33,0
0.28,0.31,0.22,0
0.46,0.43,0.39,0
0.51,0.48,0.44,0
0.25,0.23,0.20,0
0.37,0.34,0.30,0
0.29,0.27,0.24,0
